name,rating,company_type,employee_count,ownership_status,company_age,head_quarters,reviews,salaries,interviews,jobs,benefits
TCS,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,55 years old,Mumbai,66.7k,734.8k,5.6k,213,11.3k
Accenture,4.1,IT Services & Consulting,1 Lakh+ Employees,Public,34 years old,Dublin,42.5k,513.4k,3.8k,4.1k,7k
Cognizant,3.9,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,29 years old,Teaneck. New Jersey.,38.4k,496.8k,3.3k,497,5.7k
Wipro,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,78 years old,Bangalore/Bengaluru,35.4k,370.3k,3.3k,316,4.9k
ICICI Bank,4.0,Banking,1 Lakh+ Employees,Public,29 years old,Mumbai,30.9k,136.1k,1.7k,214,3.7k
HDFC Bank,3.9,Banking,1 Lakh+ Employees,Public,29 years old,Mumbai,30.6k,123.6k,1.4k,376,3.2k
Infosys,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,42 years old,Bengaluru/Bangalore,29.1k,413.1k,4.5k,779,5k
Capgemini,3.8,IT Services & Consulting,1 Lakh+ Employees,Public,56 years old,Paris,27k,336.6k,2.3k,512,3.9k
Tech Mahindra,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,37 years old,Pune,25.3k,236.3k,2.2k,1.1k,3.5k
HCLTech,3.7,IT Services & Consulting,1 Lakh+ Employees,Public,32 years old,Noida,24.8k,251.9k,2.2k,574,4k
Genpact,3.9,IT Services & Consulting,1 Lakh+ Employees,Public,26 years old,New York,24.3k,176.6k,1.8k,730,3.6k
Axis Bank,3.8,Banking,50k-1 Lakh Employees,Public,30 years old,Mumbai,20.3k,94.1k,1k,295,2.1k
Concentrix Corporation,3.9,BPO,50k-1 Lakh Employees,Public,40 years old,Fremont,20k,99.4k,987,171,3.2k
Amazon,4.1,Internet,1 Lakh+ Employees,Public,29 years old,Seattle,19.2k,116.9k,3.2k,689,4.1k
Reliance Jio,3.9,Telecom,50k-1 Lakh Employees,Public,16 years old,Navi Mumbai,18.5k,63.6k,1.1k,162,2.5k
IBM,4.1,Software Product,50k-1 Lakh Employees,Public,112 years old,Armonk,18.5k,197.4k,1.4k,2k,2.7k
Larsen & Toubro Limited,4.0,Engineering & Construction,10k-50k Employees,Public,85 years old,Mumbai,17.4k,76.6k,964,160,2.9k
Reliance Retail,3.9,Retail,1 Lakh+ Employees,N/A,17 years old,Navi Mumbai,16.7k,54.7k,1k,259,1.9k
HDB Financial Services,4.0,NBFC,1 Lakh+ Employees,N/A,16 years old,Ahmedabad,16.3k,49.1k,524,111,1.5k
Teleperformance,3.6,BPO,50k-1 Lakh Employees,Forbes Global 2000,45 years old,Paris,15.8k,73.6k,1.1k,243,1.9k
Vodafone Idea,4.2,N/A,5k-10k Employees,Public,5 years old,Mumbai,14.6k,62.4k,400,361,2k
BYJU'S,3.1,EdTech,10k-50k Employees,Indian Unicorn,12 years old,Bangalore,13.5k,50.3k,1.7k,885,1.9k
Deloitte,4.0,Accounting & Auditing,1 Lakh+ Employees,N/A,178 years old,London,13.4k,138.6k,1.5k,291,2.5k
Kotak Mahindra Bank,3.8,Banking,50k-1 Lakh Employees,Public,20 years old,Mumbai,13k,74.4k,668,227,1.3k
Reliance Industries,4.0,Oil & Gas | Public,N/A,Public,46 years old,Navi Mumbai,12.2k,63.5k,862,83,1.9k
Bharti Airtel,4.0,Telecom,10k-50k Employees,Public,28 years old,Gurgaon/Gurugram,11.3k,44.2k,528,281,1.6k
Tata Motors,4.2,Automobile,10k-50k Employees,Public,78 years old,Pune,10.4k,42.1k,679,18,1.7k
Flipkart,4.1,Internet,10k-50k Employees,Public,16 years old,Bangalore,9k,44.2k,945,375,1.5k
WNS,3.5,BPO,10k-50k Employees,N/A,27 years old,Mumbai,8.9k,51.9k,677,227,1.4k
iEnergizer,4.5,BPO,10k-50k Employees,N/A,23 years old,Noida,8.7k,17.7k,276,86,499
IndusInd Bank,3.7,Banking,10k-50k Employees,Public,29 years old,Gurgaon/Gurugram,8.4k,43.7k,376,250,799
Mahindra & Mahindra,4.1,Automobile,1 Lakh+ Employees,Public,78 years old,Mumbai,8.3k,37.6k,438,94,1.2k
Ernst & Young,3.6,Accounting & Auditing,50k-1 Lakh Employees,N/A,21 years old,London,8.1k,105.5k,723,1.8k,1.3k
Infosys BPM,3.9,BPO,10k-50k Employees,N/A,21 years old,Bangalore/Bengaluru,7.7k,53.6k,625,37,1.1k
DXC Technology,3.8,IT Services & Consulting,10k-50k Employees,Public,6 years old,Minato,7.6k,75.6k,511,63,1.1k
IDFC FIRST Bank,4.0,Banking,10k-50k Employees,Public,5 years old,Mumbai,7.3k,37.7k,382,84,719
Conneqt Business Solutions,3.7,IT Services & Consulting,10k-50k Employees,N/A,21 years old,Mumbai,7.1k,24.9k,287,31,791
LTIMindtree,3.7,IT Services & Consulting,50k-1 Lakh Employees,Public,24 years old,Bangalore/Bengaluru,6.7k,78.3k,835,35,845
Bajaj Finserv,4.0,Insurance,10k-50k Employees,Public,16 years old,Pune,6.6k,23.9k,307,48,743
Hinduja Global Solutions,3.9,Software Product,10k-50k Employees,Public,23 years old,Bangalore/Bengaluru,6.4k,26.2k,156,53,1k
HSBC Group,4.1,Banking,10k-50k Employees,Forbes Global 2000,21 years old,Pune,6.4k,55.4k,333,25,1.2k
Mphasis,3.5,IT Services & Consulting,10k-50k Employees,Public,25 years old,Bangalore/Bengaluru,6.4k,58.6k,439,94,867
PwC,3.6,Accounting & Auditing,10k-50k Employees,Conglomerate,143 years old,London,6.3k,65.8k,730,506,853
Startek,3.2,BPO,10k-50k Employees,Public,6 years old,Mumbai,6.3k,23.2k,291,37,698
HDFC Life,4.1,Insurance,10k-50k Employees,Public,23 years old,Mumbai,6.2k,23.4k,326,93,630
Ericsson,4.3,N/A,10k-50k Employees,Forbes Global 2000,147 years old,Stockholm,6.2k,43.3k,253,10,1k
Maruti Suzuki,4.2,Automobile,10k-50k Employees,Public,42 years old,New Delhi,6.1k,25.7k,410,41,1.1k
Yes Bank,3.9,Banking,10k-50k Employees,Public,19 years old,Mumbai,5.8k,39.2k,279,28,628
Asian Paints,4.1,Chemicals,5k-10k Employees,Public,81 years old,Mumbai,5.8k,20.6k,421,117,901
Dr. Reddy's,4.1,N/A,10k-50k Employees,Public,39 years old,Hyderabad/Secunderabad,5.7k,23.5k,246,93,881
Cipla Pharmaceutical,4.1,Pharma,10k-50k Employees,Public,88 years old,Mumbai,5.7k,23.3k,330,24,882
Sutherland Global Services,3.8,IT Services & Consulting,10k-50k Employees,N/A,37 years old,Pittsford,5.6k,26.3k,328,178,934
NTT DATA,4.0,IT Services & Consulting,10k-50k Employees,N/A,35 years old,Chiyoda City,5.4k,48.7k,391,112,769
EXL Service,3.8,Analytics & KPO,10k-50k Employees,N/A,24 years old,New York City,5.3k,32.5k,403,462,842
ICICI Prudential Life Insurance,4.1,Insurance,10k-50k Employees,Public,23 years old,Mumbai,5.3k,20.7k,263,264,630
Jana Small Finance Bank,3.8,Banking,10k-50k Employees,Public,17 years old,Bangalore/Bengaluru,5.2k,15.5k,162,113,616
UltraTech Cement,4.2,Building Material,10k-50k Employees,Public,40 years old,Mumbai,5.2k,20.3k,320,13,645
Bandhan Bank,3.8,Banking,50k-1 Lakh Employees,Public,22 years old,Kolkata,5.2k,18.2k,330,21,530
Paytm,3.5,FinTech,10k-50k Employees,Public,13 years old,Noida,5.2k,27.5k,389,605,578
HCL Group,3.7,IT Services & Consulting,1 Lakh+ Employees,N/A,47 years old,Chennai,5.1k,70.2k,258,1,688
Lupin,4.1,Pharma,10k-50k Employees,Public,55 years old,Mumbai,5.1k,21.6k,229,22,813
AU Small Finance Bank,4.2,Banking,10k-50k Employees,Fortune India 500,27 years old,Jaipur,5k,17.2k,256,156,443
Udaan,4.0,Internet,1k-5k Employees,Indian Unicorn,7 years old,Bangalore,5k,19.1k,283,289,786
Bajaj Finance,4.1,NBFC,10k-50k Employees,N/A,36 years old,Pune,5k,19.1k,205,99,513
Indian Army,4.7,Defence & Aerospace,1 Lakh+ Employees,Public,128 years old,New Delhi,4.9k,10.3k,103,--,752
L&T Infotech,3.8,IT Services & Consulting,10k-50k Employees,Public,27 years old,Mumbai,4.9k,67.1k,382,138,876
Zydus Lifesciences,4.1,Pharma,10k-50k Employees,Public,71 years old,Ahmedabad,4.8k,16.8k,196,48,675
ITC,3.9,FMCG,10k-50k Employees,Public,48 years old,Kolkata,4.8k,21.8k,367,78,719
Wells Fargo,4.1,Banking,10k-50k Employees,Public,171 years old,San Francisco,4.7k,39.6k,299,117,896
JP Morgan Chase,4.2,Financial Services,50k-1 Lakh Employees,Forbes Global 2000,23 years old,New York,4.7k,59.2k,372,1.1k,900
Delhivery,4.0,N/A,10k-50k Employees,Fortune India 500,12 years old,Delhi,4.6k,15.8k,276,421,656
FIS,3.9,FinTech,10k-50k Employees,N/A,55 years old,Jacksonville,4.6k,37.1k,281,67,780
Hindustan Unilever,4.2,FMCG,10k-50k Employees,Public,151 years old,London,4.6k,20.6k,225,188,685
Amazon Development Centre India,4.2,Internet,10k-50k Employees,N/A,N/A,N/A,4.5k,4.8k,338,30,44
IIFL Finance,3.9,Financial Services,10k-50k Employees,Public,28 years old,Mumbai,4.5k,17.3k,201,134,437
Quess,4.0,Recruitment,1 Lakh+ Employees,Public,16 years old,Bangalore,4.5k,22k,250,238,457
TATA Steel,4.2,Iron & Steel,1 Lakh+ Employees,Public,116 years old,Mumbai,4.4k,20.2k,414,41,653
Hexaware Technologies,3.7,IT Services & Consulting,10k-50k Employees,Fortune India 500,33 years old,Mumbai,4.3k,41.2k,356,336,579
KPMG India,3.6,Management Consulting,10k-50k Employees,N/A,36 years old,Bengaluru/Bangalore,4.3k,53.5k,466,484,778
